condition,seed_or_average,view,feature_name,shap_rank,shap_importance,is_topk_shap,has_label_related_causal_edge,edge_direction_to_label,consistency_type,evidence_status,shap_source,dag_source,notes
Bearing_20_0,across_existing_seeds,channel,ch2,2.2,0.17612272677,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_20_0,across_existing_seeds,channel,ch3,4.2,0.158748742023,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_20_0,across_existing_seeds,channel,ch4,3.2,0.165225660145,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_20_0,across_existing_seeds,channel,ch6,3.4,0.167790214483,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_20_0,across_existing_seeds,channel,ch7,5,0.159218673577,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_20_0,across_existing_seeds,channel,ch8,3,0.172893983002,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_20_0,across_existing_seeds,frequency,cA5,5,0.116339795036,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_20_0,across_existing_seeds,frequency,cD2,1,0.324405027839,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_20_0,across_existing_seeds,frequency,cD3,2,0.23229466537,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_20_0,across_existing_seeds,frequency,cD4,3,0.185917221343,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_20_0,across_existing_seeds,frequency,cD5,4,0.141043290412,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Bearing_30_2,across_existing_seeds,channel,ch2,2.8,0.170781361719,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
