condition,seed,model_family,experiment_family,split,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,loss,source_path,extraction_method,status,notes
Bearing_20_0,42,no_attention,channel_frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/BaseGraphs/Seed_42/Bearing_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_30_2,42,no_attention,channel_frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/BaseGraphs/Seed_42/Bearing_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_20_0,42,no_attention,channel_frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/BaseGraphs/Seed_42/Gear_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_30_2,42,no_attention,channel_frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/BaseGraphs/Seed_42/Gear_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_20_0,42,no_attention,channel_frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/BaseModels/Seed_42/Bearing_20_0.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Bearing_30_2,42,no_attention,channel_frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/BaseModels/Seed_42/Bearing_30_2.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Gear_20_0,42,no_attention,channel_frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/BaseModels/Seed_42/Gear_20_0.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Gear_30_2,42,no_attention,channel_frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/BaseModels/Seed_42/Gear_30_2.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Bearing_20_0,49,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/NoAttention/ConfusionAndF1/Seed_49/ConfusionMatrix/Bearing_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_30_2,49,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/NoAttention/ConfusionAndF1/Seed_49/ConfusionMatrix/Bearing_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_20_0,49,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/NoAttention/ConfusionAndF1/Seed_49/ConfusionMatrix/Gear_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_30_2,49,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/NoAttention/ConfusionAndF1/Seed_49/ConfusionMatrix/Gear_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_20_0,49,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/NoAttention/ConfusionAndF1/Seed_49/F1/Bearing_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_30_2,49,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/NoAttention/ConfusionAndF1/Seed_49/F1/Bearing_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_20_0,49,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/NoAttention/ConfusionAndF1/Seed_49/F1/Gear_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
