condition,view,feature_name,is_topk_shap,has_any_label_adjacency,has_strict_feature_to_label_edge,has_only_weak_or_conflicting_label_adjacency,adjacency_support_level,adjacency_consistency_type,notes
Bearing_20_0,channel,ch2,False,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=
Bearing_20_0,channel,ch3,False,True,True,False,strict_directed_support,low_shap_with_label_adjacency_underused_or_conflicting,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=PC_Datasets/Seed_49/Bearing_20_0.csv
Bearing_20_0,channel,ch4,False,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=
Bearing_20_0,channel,ch6,False,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=
Bearing_20_0,channel,ch7,False,True,True,False,strict_directed_support,low_shap_with_label_adjacency_underused_or_conflicting,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=PC_Datasets/Seed_49/Bearing_20_0.csv
Bearing_20_0,channel,ch8,False,True,False,True,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=PC_Datasets/Seed_49/Bearing_20_0.csv
Bearing_20_0,frequency,cA5,False,True,False,True,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=PC_Datasets/average/Bearing_20_0.csv
Bearing_20_0,frequency,cD2,True,True,False,True,weak_label_adjacency_only,high_shap_with_label_adjacency,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=PC_Datasets/Seed_49/Bearing_20_0.csv
Bearing_20_0,frequency,cD3,True,True,False,True,weak_label_adjacency_only,high_shap_with_label_adjacency,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=PC_Datasets/Seed_49/Bearing_20_0.csv|PC_Datasets/average/Bearing_20_0.csv
Bearing_20_0,frequency,cD4,False,True,False,True,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=PC_Datasets/Seed_49/Bearing_20_0.csv
Bearing_20_0,frequency,cD5,False,True,False,True,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=PC_Datasets/Seed_49/Bearing_20_0.csv|PC_Datasets/average/Bearing_20_0.csv
Bearing_30_2,channel,ch2,False,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=
Bearing_30_2,channel,ch3,False,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=
Bearing_30_2,channel,ch4,False,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=
Bearing_30_2,channel,ch6,False,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=
Bearing_30_2,channel,ch7,False,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=
Bearing_30_2,channel,ch8,False,True,False,True,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=PC_Datasets/Seed_49/Bearing_30_2.csv
Bearing_30_2,frequency,cA5,False,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=
Bearing_30_2,frequency,cD2,True,True,True,False,strict_directed_support,high_shap_with_label_adjacency,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=PC_Datasets/average/Bearing_30_2.csv
Bearing_30_2,frequency,cD3,True,True,False,True,weak_label_adjacency_only,high_shap_with_label_adjacency,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=PC_Datasets/Seed_49/Bearing_30_2.csv|PC_Datasets/average/Bearing_30_2.csv
Bearing_30_2,frequency,cD4,False,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=
Bearing_30_2,frequency,cD5,False,True,True,False,strict_directed_support,low_shap_with_label_adjacency_underused_or_conflicting,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=PC_Datasets/average/Bearing_30_2.csv
Gear_20_0,channel,ch2,False,True,False,True,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=PC_Datasets/Seed_49/Gear_20_0.csv
Gear_20_0,channel,ch3,False,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=
Gear_20_0,channel,ch4,False,True,False,True,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=PC_Datasets/Seed_49/Gear_20_0.csv
Gear_20_0,channel,ch6,False,True,False,True,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=PC_Datasets/Seed_49/Gear_20_0.csv
Gear_20_0,channel,ch7,False,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,weak adjacency includes label_to_feature/undirected_with_label without causal-direction claim; sources=
