condition,view,feature_name,mean_importance_across_seeds,std_importance_across_seeds,mean_rank,std_rank,topk_frequency,is_topk_shap,has_label_related_causal_edge,label_relation_type,edge_direction_to_label,consistency_type,evidence_strength,shap_source,edge_source,notes
Bearing_20_0,channel,ch2,0.17612272677,0.00479627909691,2.2,0.748331477355,1.000000,False,False,none,none,low_shap_no_label_edge_uninformative,moderate,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
Bearing_20_0,channel,ch3,0.158748742023,0.0136061287894,4.2,2.22710574513,0.400000,False,True,feature_to_label,ch3->label,low_shap_label_edge_underused_causal_feature,strong,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,PC_Datasets/Seed_49/Bearing_20_0.csv,topk_threshold=2; label_edges=1
Bearing_20_0,channel,ch4,0.165225660145,0.0150196394087,3.2,1.93907194297,0.600000,False,False,none,none,low_shap_no_label_edge_uninformative,moderate,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
Bearing_20_0,channel,ch6,0.167790214483,0.00832990374396,3.4,1.35646599663,0.400000,False,False,none,none,low_shap_no_label_edge_uninformative,moderate,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
Bearing_20_0,channel,ch7,0.159218673577,0.00580613709974,5,0.632455532034,0.000000,False,True,feature_to_label,ch7->label,low_shap_label_edge_underused_causal_feature,strong,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,PC_Datasets/Seed_49/Bearing_20_0.csv,topk_threshold=2; label_edges=1
Bearing_20_0,channel,ch8,0.172893983002,0.00810969075695,3,1.09544511501,0.600000,False,True,label_to_feature,label->ch8,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,PC_Datasets/Seed_49/Bearing_20_0.csv,topk_threshold=2; label_edges=1
Bearing_20_0,frequency,cA5,0.116339795036,0.00151216694038,5,0,0.000000,False,True,undirected_with_label,undirected_or_partially_oriented,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,PC_Datasets/average/Bearing_20_0.csv,topk_threshold=2; label_edges=1
Bearing_20_0,frequency,cD2,0.324405027839,0.00371996313983,1,0,1.000000,True,True,label_to_feature,label->cD2,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,PC_Datasets/Seed_49/Bearing_20_0.csv,topk_threshold=2; label_edges=1
Bearing_20_0,frequency,cD3,0.23229466537,0.00190708994556,2,0,1.000000,True,True,label_to_feature,label->cD3,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,PC_Datasets/Seed_49/Bearing_20_0.csv|PC_Datasets/average/Bearing_20_0.csv,topk_threshold=2; label_edges=2
Bearing_20_0,frequency,cD4,0.185917221343,0.00351963203631,3,0,1.000000,False,True,undirected_with_label,undirected_or_partially_oriented,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,PC_Datasets/Seed_49/Bearing_20_0.csv,topk_threshold=2; label_edges=1
Bearing_20_0,frequency,cD5,0.141043290412,0.0014184066107,4,0,0.000000,False,True,label_to_feature|undirected_with_label,label->cD5|undirected_or_partially_oriented,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_20_0.npz,PC_Datasets/Seed_49/Bearing_20_0.csv|PC_Datasets/average/Bearing_20_0.csv,topk_threshold=2; label_edges=2
