candidate_type,condition,view,feature_name,shap_status,graph_support_status,mean_rank,mean_importance_across_seeds,paper_interpretation
strict_shortcut_risk_candidate,Bearing_20_0,frequency,cD2,high_shap,no_strict_feature_to_label_support,1.0,0.324405027839,shortcut-risk candidate; do not claim confirmed shortcut without intervention
strict_shortcut_risk_candidate,Bearing_20_0,frequency,cD3,high_shap,no_strict_feature_to_label_support,2.0,0.23229466537,shortcut-risk candidate; do not claim confirmed shortcut without intervention
strict_shortcut_risk_candidate,Bearing_30_2,frequency,cD3,high_shap,no_strict_feature_to_label_support,2.0,0.230642322651,shortcut-risk candidate; do not claim confirmed shortcut without intervention
strict_shortcut_risk_candidate,Gear_20_0,channel,ch8,high_shap,no_strict_feature_to_label_support,1.4,0.181493991992,shortcut-risk candidate; do not claim confirmed shortcut without intervention
strict_shortcut_risk_candidate,Gear_20_0,frequency,cD2,high_shap,no_strict_feature_to_label_support,1.0,0.275864807307,shortcut-risk candidate; do not claim confirmed shortcut without intervention
strict_shortcut_risk_candidate,Gear_20_0,frequency,cD4,high_shap,no_strict_feature_to_label_support,2.0,0.249576694348,shortcut-risk candidate; do not claim confirmed shortcut without intervention
strict_shortcut_risk_candidate,Gear_30_2,frequency,cD2,high_shap,no_strict_feature_to_label_support,1.0,0.289919378007,shortcut-risk candidate; do not claim confirmed shortcut without intervention
strict_shortcut_risk_candidate,Gear_30_2,frequency,cD3,high_shap,no_strict_feature_to_label_support,2.0,0.2257124468,shortcut-risk candidate; do not claim confirmed shortcut without intervention
weak_shortcut_risk_candidate,Gear_20_0,channel,ch8,high_shap,no_label_adjacency,,,stronger shortcut-risk candidate because both strict direction and weak label adjacency are absent
weak_shortcut_risk_candidate,Gear_20_0,frequency,cD4,high_shap,no_label_adjacency,,,stronger shortcut-risk candidate because both strict direction and weak label adjacency are absent
