condition,seed,view,feature_name,feature_index,mean_abs_shap,normalized_importance,rank,source_npz,aggregation_method,status,notes
Bearing_20_0,42,channel,ch2,0,0.00255502560719,0.173638633797,3,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,42,channel,ch3,1,0.00220223100361,0.149662837702,6,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,42,channel,ch4,2,0.00257574831776,0.175046941856,2,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,42,channel,ch6,3,0.00238376546289,0.16199985515,4,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,42,channel,ch7,4,0.00222392728304,0.151137309154,5,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,42,channel,ch8,5,0.00277391710516,0.188514422341,1,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,42,frequency,cA5,0,0.0012093470085,0.116104586181,5,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,42,frequency,cD5,1,0.00148425529246,0.14249743482,4,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,42,frequency,cD4,2,0.0018829119311,0.180770869767,3,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,42,frequency,cD3,3,0.00240191749246,0.230598525108,2,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,42,frequency,cD2,4,0.00343758239064,0.330028584123,1,CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,42,channel,ch2,0,0.00228063645266,0.17210395084,3,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,42,channel,ch3,1,0.00207221443007,0.156375773959,5,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,42,channel,ch4,2,0.00234091999921,0.176653135573,2,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
