relative_path,file_type,file_size_mb,modified_time,category,likely_role,tracked_by_git,ignored_by_git,recommendation
DataSets/CWRU/12k Drive End Bearing Fault Data/105.mat,.mat,2.776,2026-06-03T19:13:20,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/106.mat,.mat,2.793,2026-06-03T19:13:20,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/107.mat,.mat,2.796,2026-06-03T19:13:22,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/108.mat,.mat,2.814,2026-06-03T19:13:20,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/118.mat,.mat,2.806,2026-06-03T19:13:20,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/119.mat,.mat,2.779,2026-06-03T19:13:20,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/120.mat,.mat,2.783,2026-06-03T19:13:20,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/121.mat,.mat,2.783,2026-06-03T19:13:20,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/130.mat,.mat,2.793,2026-06-03T19:13:20,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/131.mat,.mat,2.802,2026-06-03T19:13:20,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/132.mat,.mat,2.779,2026-06-03T19:13:20,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/133.mat,.mat,2.806,2026-06-03T19:13:20,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/144.mat,.mat,2.799,2026-06-03T19:13:20,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/145.mat,.mat,2.789,2026-06-03T19:13:22,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
