script,expected_key,context_line,actual_available_in_related_npz,status,notes
CalculateShapValues/AttentionAndNoAttention/Bearing_20_0.py,weights,43: weights = np.load('../../ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz')['weights'],ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_49/Bearing_20_0.npz|...(+9),found_in_local_npz,
CalculateShapValues/AttentionAndNoAttention/Bearing_30_2.py,weights,42: weights = np.load('../../ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz')['weights'],ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_49/Bearing_20_0.npz|...(+9),found_in_local_npz,
CalculateShapValues/AttentionAndNoAttention/Gear_20_0.py,weights,42: weights = np.load('../../ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz')['weights'],ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_49/Bearing_20_0.npz|...(+9),found_in_local_npz,
CalculateShapValues/AttentionAndNoAttention/Gear_30_2.py,weights,42: weights = np.load('../../ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz')['weights'],ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_49/Bearing_20_0.npz|...(+9),found_in_local_npz,
CalculateShapValues/NoAttention/analysis.py,shap_values,"15: data = np.load(os.path.join(path, file), allow_pickle=True)['shap_values'][:, :, 1:6, :, :]",CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|...(+14),found_in_local_npz,
CalculateShapValues/NoAttention/total_analysis.py,shap_values,"21: data = np.load(path, allow_pickle=True)['shap_values'][:, :, :, :, :]",CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|...(+14),found_in_local_npz,
Common/CausalAndDoWhy.py,train_set,"192: train_set = data['train_set'][:, :, 1:, :]",wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
Common/CausalAndDoWhy.py,test_set,"193: test_set = data['test_set'][:, :, 1:, :]",wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
Common/CausalAndDoWhy.py,valid_set,"194: valid_set = data['valid_set'][:, :, 1:, :]",wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
Common/CausalAndDoWhy.py,cross_finetune_set,"195: finetune_set = data['cross_finetune_set'][:, :, 1:, :]",wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
