candidate_id,condition,view,seed_or_average,alpha_or_setting,filtered_or_original,physical_prior_or_background_knowledge,figure_asset,edge_table_asset,label_edge_summary,strict_edges_count,weak_adjacency_count,why_candidate,risk_or_caveat,recommended_use,needs_human_confirmation
DAGSET01,Bearing_20_0,channel,49,alpha=0.05; existing_wavelet_dag,filtered_candidate,existing DAG assets include filtered/original/physical-prior variants; final display policy not locked,DAG/PC_DAG/Seed_49/filtered/Significance_0.05/Bearing_20_0_ch.png,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,total_edges=13; label_edges=3; connected=ch3|ch7|ch8; feature_to_label=ch3|ch7; label_to_feature=ch8; undirected=nan,2,3,Existing exported edge summary and graph figure can support dual-view audit.,Only feature_to_label is strict support; label_to_feature/undirected are weak adjacency; final alpha/filtering must be confirmed.,main_or_supplement_candidate_depending_on_case_selection,yes
DAGSET02,Bearing_20_0,frequency,49,alpha=0.05; existing_wavelet_dag,filtered_candidate,existing DAG assets include filtered/original/physical-prior variants; final display policy not locked,DAG/PC_DAG/Seed_49/filtered/Significance_0.05/Bearing_20_0_freq.png,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,total_edges=10; label_edges=4; connected=cD2|cD3|cD4|cD5; feature_to_label=nan; label_to_feature=cD2|cD3; undirected=cD4|cD5,0,5,Existing exported edge summary and graph figure can support dual-view audit.,Only feature_to_label is strict support; label_to_feature/undirected are weak adjacency; final alpha/filtering must be confirmed.,main_or_supplement_candidate_depending_on_case_selection,yes
DAGSET03,Bearing_20_0,channel,average,alpha=0.05; existing_wavelet_dag,filtered_candidate,existing DAG assets include filtered/original/physical-prior variants; final display policy not locked,DAG/PC_DAG/Seed_49/filtered/Significance_0.05/average/Bearing_20_0_ch.png,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,total_edges=10; label_edges=0; connected=nan; feature_to_label=nan; label_to_feature=nan; undirected=nan,2,3,Existing exported edge summary and graph figure can support dual-view audit.,Only feature_to_label is strict support; label_to_feature/undirected are weak adjacency; final alpha/filtering must be confirmed.,main_or_supplement_candidate_depending_on_case_selection,yes
DAGSET04,Bearing_20_0,frequency,average,alpha=0.05; existing_wavelet_dag,filtered_candidate,existing DAG assets include filtered/original/physical-prior variants; final display policy not locked,DAG/PC_DAG/Seed_49/filtered/Significance_0.05/average/Bearing_20_0_freq.png,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,total_edges=9; label_edges=3; connected=cA5|cD3|cD5; feature_to_label=nan; label_to_feature=cD3|cD5; undirected=cA5,0,5,Existing exported edge summary and graph figure can support dual-view audit.,Only feature_to_label is strict support; label_to_feature/undirected are weak adjacency; final alpha/filtering must be confirmed.,main_or_supplement_candidate_depending_on_case_selection,yes
DAGSET05,Bearing_30_2,channel,49,alpha=0.05; existing_wavelet_dag,filtered_candidate,existing DAG assets include filtered/original/physical-prior variants; final display policy not locked,DAG/PC_DAG/Seed_49/filtered/Significance_0.05/Bearing_30_2_ch.png,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,total_edges=13; label_edges=1; connected=ch8; feature_to_label=nan; label_to_feature=ch8; undirected=nan,0,1,Existing exported edge summary and graph figure can support dual-view audit.,Only feature_to_label is strict support; label_to_feature/undirected are weak adjacency; final alpha/filtering must be confirmed.,main_or_supplement_candidate_depending_on_case_selection,yes
DAGSET06,Bearing_30_2,frequency,49,alpha=0.05; existing_wavelet_dag,filtered_candidate,existing DAG assets include filtered/original/physical-prior variants; final display policy not locked,DAG/PC_DAG/Seed_49/filtered/Significance_0.05/Bearing_30_2_freq.png,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,total_edges=8; label_edges=1; connected=cD3; feature_to_label=nan; label_to_feature=nan; undirected=cD3,2,3,Existing exported edge summary and graph figure can support dual-view audit.,Only feature_to_label is strict support; label_to_feature/undirected are weak adjacency; final alpha/filtering must be confirmed.,main_or_supplement_candidate_depending_on_case_selection,yes
DAGSET07,Bearing_30_2,channel,average,alpha=0.05; existing_wavelet_dag,filtered_candidate,existing DAG assets include filtered/original/physical-prior variants; final display policy not locked,DAG/PC_DAG/Seed_49/filtered/Significance_0.05/average/Bearing_30_2_ch.png,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,total_edges=9; label_edges=0; connected=nan; feature_to_label=nan; label_to_feature=nan; undirected=nan,0,1,Existing exported edge summary and graph figure can support dual-view audit.,Only feature_to_label is strict support; label_to_feature/undirected are weak adjacency; final alpha/filtering must be confirmed.,main_or_supplement_candidate_depending_on_case_selection,yes
DAGSET08,Bearing_30_2,frequency,average,alpha=0.05; existing_wavelet_dag,filtered_candidate,existing DAG assets include filtered/original/physical-prior variants; final display policy not locked,DAG/PC_DAG/Seed_49/filtered/Significance_0.05/average/Bearing_30_2_freq.png,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,total_edges=8; label_edges=3; connected=cD2|cD3|cD5; feature_to_label=cD2|cD5; label_to_feature=cD3; undirected=nan,2,3,Existing exported edge summary and graph figure can support dual-view audit.,Only feature_to_label is strict support; label_to_feature/undirected are weak adjacency; final alpha/filtering must be confirmed.,main_or_supplement_candidate_depending_on_case_selection,yes
DAGSET09,Gear_20_0,channel,49,alpha=0.05; existing_wavelet_dag,filtered_candidate,existing DAG assets include filtered/original/physical-prior variants; final display policy not locked,DAG/PC_DAG/Seed_49/filtered/Significance_0.05/Gear_20_0_ch.png,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,total_edges=12; label_edges=3; connected=ch2|ch4|ch6; feature_to_label=nan; label_to_feature=ch2|ch4|ch6; undirected=nan,0,3,Existing exported edge summary and graph figure can support dual-view audit.,Only feature_to_label is strict support; label_to_feature/undirected are weak adjacency; final alpha/filtering must be confirmed.,main_or_supplement_candidate_depending_on_case_selection,yes
DAGSET10,Gear_20_0,frequency,49,alpha=0.05; existing_wavelet_dag,filtered_candidate,existing DAG assets include filtered/original/physical-prior variants; final display policy not locked,DAG/PC_DAG/Seed_49/filtered/Significance_0.05/Gear_20_0_freq.png,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,total_edges=10; label_edges=4; connected=cA5|cD2|cD3|cD5; feature_to_label=nan; label_to_feature=cD2|cD3|cD5; undirected=cA5,0,4,Existing exported edge summary and graph figure can support dual-view audit.,Only feature_to_label is strict support; label_to_feature/undirected are weak adjacency; final alpha/filtering must be confirmed.,main_or_supplement_candidate_depending_on_case_selection,yes
DAGSET11,Gear_20_0,channel,average,alpha=0.05; existing_wavelet_dag,filtered_candidate,existing DAG assets include filtered/original/physical-prior variants; final display policy not locked,DAG/PC_DAG/Seed_49/filtered/Significance_0.05/average/Gear_20_0_ch.png,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,total_edges=9; label_edges=0; connected=nan; feature_to_label=nan; label_to_feature=nan; undirected=nan,0,3,Existing exported edge summary and graph figure can support dual-view audit.,Only feature_to_label is strict support; label_to_feature/undirected are weak adjacency; final alpha/filtering must be confirmed.,main_or_supplement_candidate_depending_on_case_selection,yes
DAGSET12,Gear_20_0,frequency,average,alpha=0.05; existing_wavelet_dag,filtered_candidate,existing DAG assets include filtered/original/physical-prior variants; final display policy not locked,DAG/PC_DAG/Seed_49/filtered/Significance_0.05/average/Gear_20_0_freq.png,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,total_edges=8; label_edges=2; connected=cA5|cD3; feature_to_label=nan; label_to_feature=cA5|cD3; undirected=nan,0,4,Existing exported edge summary and graph figure can support dual-view audit.,Only feature_to_label is strict support; label_to_feature/undirected are weak adjacency; final alpha/filtering must be confirmed.,main_or_supplement_candidate_depending_on_case_selection,yes
DAGSET13,Gear_30_2,channel,49,alpha=0.05; existing_wavelet_dag,filtered_candidate,existing DAG assets include filtered/original/physical-prior variants; final display policy not locked,DAG/PC_DAG/Seed_49/filtered/Significance_0.05/Gear_30_2_ch.png,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,total_edges=13; label_edges=3; connected=ch2|ch3|ch4; feature_to_label=nan; label_to_feature=ch2|ch3|ch4; undirected=nan,0,3,Existing exported edge summary and graph figure can support dual-view audit.,Only feature_to_label is strict support; label_to_feature/undirected are weak adjacency; final alpha/filtering must be confirmed.,main_or_supplement_candidate_depending_on_case_selection,yes
DAGSET14,Gear_30_2,frequency,49,alpha=0.05; existing_wavelet_dag,filtered_candidate,existing DAG assets include filtered/original/physical-prior variants; final display policy not locked,DAG/PC_DAG/Seed_49/filtered/Significance_0.05/Gear_30_2_freq.png,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,total_edges=10; label_edges=3; connected=cD2|cD4|cD5; feature_to_label=nan; label_to_feature=cD2|cD4|cD5; undirected=nan,0,4,Existing exported edge summary and graph figure can support dual-view audit.,Only feature_to_label is strict support; label_to_feature/undirected are weak adjacency; final alpha/filtering must be confirmed.,main_or_supplement_candidate_depending_on_case_selection,yes
DAGSET15,Gear_30_2,channel,average,alpha=0.05; existing_wavelet_dag,filtered_candidate,existing DAG assets include filtered/original/physical-prior variants; final display policy not locked,DAG/PC_DAG/Seed_49/filtered/Significance_0.05/average/Gear_30_2_ch.png,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,total_edges=9; label_edges=0; connected=nan; feature_to_label=nan; label_to_feature=nan; undirected=nan,0,3,Existing exported edge summary and graph figure can support dual-view audit.,Only feature_to_label is strict support; label_to_feature/undirected are weak adjacency; final alpha/filtering must be confirmed.,main_or_supplement_candidate_depending_on_case_selection,yes
DAGSET16,Gear_30_2,frequency,average,alpha=0.05; existing_wavelet_dag,filtered_candidate,existing DAG assets include filtered/original/physical-prior variants; final display policy not locked,DAG/PC_DAG/Seed_49/filtered/Significance_0.05/average/Gear_30_2_freq.png,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,total_edges=8; label_edges=1; connected=cD3; feature_to_label=nan; label_to_feature=cD3; undirected=nan,0,4,Existing exported edge summary and graph figure can support dual-view audit.,Only feature_to_label is strict support; label_to_feature/undirected are weak adjacency; final alpha/filtering must be confirmed.,main_or_supplement_candidate_depending_on_case_selection,yes
